codigo,nombre,tipo,mov,EMCR,EVR,Dif_EVR,Factor_EVR
2004,Albatana,Internas,Emigraciones,23,25,-8.0,1.087
2005,Alborea,Internas,Emigraciones,34,34,0.0,1.000
2006,Alcadozo,Internas,Emigraciones,27,27,0.0,1.000
2007,Alcalá del Júcar,Internas,Emigraciones,48,50,-4.0,1.042
2008,Alcaraz,Internas,Emigraciones,43,43,0.0,1.000
2009,Almansa,Internas,Emigraciones,515,508,1.4,0.986
2010,Alpera,Internas,Emigraciones,76,76,0.0,1.000
2011,Ayna,Internas,Emigraciones,20,20,0.0,1.000
2012,Balazote,Internas,Emigraciones,48,45,6.7,0.938
2013,Balsa de Ves,Internas,Emigraciones,13,14,-7.1,1.077
2014,"Ballestero, El",Internas,Emigraciones,7,6,16.7,0.857
2015,Barrax,Internas,Emigraciones,44,46,-4.3,1.045
2016,Bienservida,Internas,Emigraciones,26,26,0.0,1.000
2017,Bogarra,Internas,Emigraciones,25,26,-3.8,1.040
2018,Bonete,Internas,Emigraciones,27,28,-3.6,1.037
2019,"Bonillo, El",Internas,Emigraciones,48,48,0.0,1.000
2020,Carcelén,Internas,Emigraciones,28,27,3.7,0.964
2021,Casas de Juan Núñez,Internas,Emigraciones,100,97,3.1,0.970
2022,Casas de Lázaro,Internas,Emigraciones,12,12,0.0,1.000
2023,Casas de Ves,Internas,Emigraciones,18,19,-5.3,1.056
2024,Casas-Ibáñez,Internas,Emigraciones,149,153,-2.6,1.027
2025,Caudete,Internas,Emigraciones,283,279,1.4,0.986
2026,Cenizate,Internas,Emigraciones,28,29,-3.4,1.036
2027,Corral-Rubio,Internas,Emigraciones,20,20,0.0,1.000
2028,Cotillas,Internas,Emigraciones,8,8,0.0,1.000
2029,Chinchilla de Monte-Aragón,Internas,Emigraciones,193,207,-6.8,1.073
2030,Elche de la Sierra,Internas,Emigraciones,93,92,1.1,0.989
2031,Férez,Internas,Emigraciones,23,25,-8.0,1.087
2032,Fuensanta,Internas,Emigraciones,15,15,0.0,1.000
2033,Fuente-Álamo,Internas,Emigraciones,66,68,-2.9,1.030
2034,Fuentealbilla,Internas,Emigraciones,73,71,2.8,0.973
2035,"Gineta, La",Internas,Emigraciones,119,119,0.0,1.000
2036,Golosalvo,Internas,Emigraciones,3,3,0.0,1.000
2037,Hellín,Internas,Emigraciones,682,678,0.6,0.994
2038,"Herrera, La",Internas,Emigraciones,16,17,-5.9,1.063
2039,Higueruela,Internas,Emigraciones,40,40,0.0,1.000
2040,Hoya-Gonzalo,Internas,Emigraciones,50,52,-3.8,1.040
2041,Jorquera,Internas,Emigraciones,25,24,4.2,0.960
2042,Letur,Internas,Emigraciones,27,28,-3.6,1.037
2043,Lezuza,Internas,Emigraciones,42,42,0.0,1.000
2044,Liétor,Internas,Emigraciones,43,41,4.9,0.953
